"Country","Num_Occurrences","AQI_Value","CO_AQI_Value","Ozone_AQI_Value","NO2_AQI_Value","PM2.5_AQI_Value","Continent"
"Afghanistan",49,95.96,0.59,40.18,0.02,95.92,"Asia"
"Albania",32,68.25,1,42.06,0.72,68.09,"Europe"
"Algeria",12,88.17,1.92,47.17,9.33,80.25,"Africa"
"Andorra",3,29.33,0.67,29.33,0,22,"Europe"
"Angola",27,83.93,3.15,22.7,1.89,81.93,"Africa"
"Argentina",68,28.24,0.35,15.49,1.54,24.87,"South America"
"Armenia",22,53.64,0.86,34.36,0.09,52.59,"Europe"
"Aruba",1,163,0,23,0,163,"South America"
"Australia",85,33.6,0.21,22.06,3.12,27.36,"Oceania"
"Austria",68,53.72,0.94,35.97,1.1,52.35,"Europe"
"Azerbaijan",38,58.76,1,37.29,0,57.5,"Europe"
"Bahrain",1,188,2,127,3,188,"Asia"
"Bangladesh",80,113.46,2.44,46.2,3.04,112.79,"Asia"
"Barbados",1,73,0,24,0,73,"North America"
"Belarus",22,38.45,0.91,33.45,0.32,28.59,"Europe"
"Belgium",284,44.58,0.93,30.13,3.24,44.51,"Europe"
"Belize",3,46.33,1,24,0,45.33,"North America"
"Benin",27,67.11,1.56,19.93,0.81,67.11,"Africa"
"Bhutan",2,26,1,21,0,26,"Asia"
"Bolivia",33,23.79,0.48,8.33,0.21,23.24,"South America"
"Bosnia and Herzegovina",36,60.56,1,36.56,0.17,60.08,"Europe"
"Botswana",19,43.58,0.84,20.37,0.42,42.32,"Africa"
"Brazil",1562,44.57,1,12.48,2.27,44.02,"South America"
"Bulgaria",65,54.26,1.03,40.77,0.71,51.12,"Europe"
"Burkina Faso",34,51.59,1.15,19.06,0.44,51.59,"Africa"
"Burundi",13,62.69,2.62,21.38,0.69,62.69,"Africa"
"Cabo Verde",2,38,0,38,0,27,"Africa"
"Cambodia",12,45.25,0.58,21.5,0.42,45.25,"Asia"
"Cameroon",64,69.02,2.33,17.05,0.42,69.02,"Africa"
"Canada",141,43.26,1.06,27.28,2.58,38.91,"North America"
"Central African Republic",30,64.17,2,12.23,0,64.17,"Africa"
"Chad",33,75.33,1.58,19.21,0.15,75.33,"Africa"
"Chile",81,87.85,3.8,10.05,8.59,87.06,"South America"
"China",795,126.95,3.42,88.32,7.09,111.7,"Asia"
"Colombia",250,66.07,1.7,9.78,3.4,66.02,"South America"
"Comoros",3,33,0,27.33,0,32,"Africa"
"Congo",12,87.58,2.58,23.83,0.33,87.58,"Africa"
"Costa Rica",38,58.82,1.5,12.45,6.92,58.82,"North America"
"Croatia",31,57.94,1.03,42.68,0.61,52.9,"Europe"
"Cuba",98,63.07,0.93,24.82,1.87,61.87,"North America"
"Cyprus",6,50.83,1,50.67,0.17,35.33,"Europe"
"Czechia",127,60.91,0.94,35.65,1.79,60.62,"Europe"
"Côte d'Ivoire",67,53.28,1.4,16.27,0.36,53.28,"Africa"
"Dem. Rep. Congo",70,114.81,5.29,27.14,1.93,114.27,"Africa"
"Denmark",60,38.02,0.5,35.83,0.55,27.4,"Europe"
"Dominican Republic",38,108.08,1.82,17.63,6.97,108.08,"North America"
"Ecuador",66,45.33,1.15,10.67,2.64,45.26,"South America"
"Egypt",40,101.65,1.43,68.08,2.58,95.75,"Africa"
"El Salvador",33,97.36,2.58,13.64,9.39,97.36,"North America"
"Equatorial Guinea",4,45.25,1.25,24,0,45.25,"Africa"
"Eritrea",5,99.2,1,31.4,0,99.2,"Africa"
"Estonia",12,38.83,1.17,31.75,1.25,28.08,"Europe"
"Ethiopia",82,78.73,0.98,21.61,0.05,78.73,"Africa"
"Finland",81,38.37,1.07,31.69,1.86,21.63,"Europe"
"France",802,53.34,1.01,30.5,2.64,51.46,"Europe"
"Gabon",10,78.1,1.5,24.3,0.1,78.1,"Africa"
"Gambia",9,147,1,24,0.67,147,"Africa"
"Georgia",20,40.6,0.95,33.8,0,35.85,"Europe"
"Germany",1345,48.25,0.82,35.52,1.99,46.23,"Europe"
"Ghana",58,62.79,1.29,18,0.5,62.79,"Africa"
"Greece",104,68.29,1.12,43.2,2.21,65.4,"Europe"
"Guatemala",121,80.95,2.33,11.16,6.84,80.95,"North America"
"Guinea",21,62.48,1.19,17.95,0.1,62.48,"Africa"
"Guinea-Bissau",4,138.75,1.25,26.5,0.5,138.75,"Africa"
"Guyana",4,45.5,0.5,16.75,0,45.5,"South America"
"Haiti",18,101.72,1.72,22.94,3.56,101.72,"North America"
"Honduras",28,63.43,1.25,10.79,2.25,63.43,"North America"
"Hungary",142,63.61,1,40.9,1.21,62.54,"Europe"
"Iceland",3,23,1,23,0,18.33,"Europe"
"India",2488,152.96,1.74,55.06,1.97,149.46,"Asia"
"Indonesia",379,93.04,2.42,46.57,3.74,90.83,"Asia"
"Iran",179,108.3,1.15,61.75,0.66,105.23,"Asia"
"Iraq",14,114.07,1.21,69.71,1.14,108.07,"Asia"
"Ireland",31,40.23,0.81,33.55,0.81,34.97,"Europe"
"Israel",46,87.83,1.59,47.35,6.2,87.83,"Asia"
"Italy",979,62,1.13,43.82,2.35,56.31,"Europe"
"Jamaica",6,90.67,1,20,3.33,90.67,"North America"
"Japan",702,51.72,1.16,39.63,3.51,41.5,"Asia"
